,Country,HDI,Total Population (millions) 2015,Total Population (millions) 2030,Life expectancy,Gross national income (GNI) per capita,Inequality in income (%),Mean years of schooling,Mean years of schooling Female,Mean years of schooling Male,Inequality in education(%),Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015
182,Guinea,0.414,12.600000381500001,18.2999992371,59.2,1058.0,17.1,2.6,1.5,3.9,48.3,1.74,1.8,1.45,1.71
183,Burundi,0.40399999999999997,11.199999809300001,17.3999996185,57.1,691.0,14.1,3.0,2.6,3.6,36.9,-0.06,3.67,0.97,1.62
184,Burkina Faso,0.402,18.1000003815,27.2000007629,59.0,1537.0,24.2,1.4,1.0,2.0,38.6,,,1.27,
185,Chad,0.396,14.0,21.8999996185,51.9,1991.0,30.7,2.3,1.2,3.4,41.9,,2.13,1.37,
186,Niger,0.353,19.8999996185,36.0,61.9,889.0,12.3,1.7,1.1,2.3,35.0,1.85,2.41,1.76,2.06
187,Central African Republic,0.35200000000000004,4.9000000954,6.5,51.5,587.0,49.2,4.2,2.8,5.7,34.5,-0.19,1.41,-0.47,0.39
188,Korea (Democratic People's Rep. of),,25.2000007629,26.7000007629,70.5,,,,,,,,,,
189,Marshall Islands,,0.1000000015,0.1000000015,,4412.0,,,,,,,,,
190,Monaco,,0.0,0.0,,,,,,,,,,,
191,Nauru,,0.0,0.0,,12058.0,,,,,,,,,
192,San Marino,,0.0,0.0,,50063.0,,,,,,,,,
193,Somalia,,10.800000190699999,16.5,55.7,294.0,,,,,43.5,,,,
194,Tuvalu,,0.0,0.0,,5395.0,,,,,10.5,,,,
